rf_code,codepoints,name,group,subgroup,order,status,reason
,1F449 1F3FB,backhand index pointing right: light skin tone,People & Body,hand-single-finger,296,excluded,skin_tone_variant
,1F449 1F3FC,backhand index pointing right: medium-light skin tone,People & Body,hand-single-finger,297,excluded,skin_tone_variant
,1F449 1F3FD,backhand index pointing right: medium skin tone,People & Body,hand-single-finger,298,excluded,skin_tone_variant
,1F449 1F3FE,backhand index pointing right: medium-dark skin tone,People & Body,hand-single-finger,299,excluded,skin_tone_variant
,1F449 1F3FF,backhand index pointing right: dark skin tone,People & Body,hand-single-finger,300,excluded,skin_tone_variant
183,1F446,backhand index pointing up,People & Body,hand-single-finger,301,included,
,1F446 1F3FB,backhand index pointing up: light skin tone,People & Body,hand-single-finger,302,excluded,skin_tone_variant
,1F446 1F3FC,backhand index pointing up: medium-light skin tone,People & Body,hand-single-finger,303,excluded,skin_tone_variant
,1F446 1F3FD,backhand index pointing up: medium skin tone,People & Body,hand-single-finger,304,excluded,skin_tone_variant
,1F446 1F3FE,backhand index pointing up: medium-dark skin tone,People & Body,hand-single-finger,305,excluded,skin_tone_variant
,1F446 1F3FF,backhand index pointing up: dark skin tone,People & Body,hand-single-finger,306,excluded,skin_tone_variant
184,1F595,middle finger,People & Body,hand-single-finger,307,included,
,1F595 1F3FB,middle finger: light skin tone,People & Body,hand-single-finger,308,excluded,skin_tone_variant
,1F595 1F3FC,middle finger: medium-light skin tone,People & Body,hand-single-finger,309,excluded,skin_tone_variant
,1F595 1F3FD,middle finger: medium skin tone,People & Body,hand-single-finger,310,excluded,skin_tone_variant
,1F595 1F3FE,middle finger: medium-dark skin tone,People & Body,hand-single-finger,311,excluded,skin_tone_variant
,1F595 1F3FF,middle finger: dark skin tone,People & Body,hand-single-finger,312,excluded,skin_tone_variant
185,1F447,backhand index pointing down,People & Body,hand-single-finger,313,included,
,1F447 1F3FB,backhand index pointing down: light skin tone,People & Body,hand-single-finger,314,excluded,skin_tone_variant
,1F447 1F3FC,backhand index pointing down: medium-light skin tone,People & Body,hand-single-finger,315,excluded,skin_tone_variant
,1F447 1F3FD,backhand index pointing down: medium skin tone,People & Body,hand-single-finger,316,excluded,skin_tone_variant
,1F447 1F3FE,backhand index pointing down: medium-dark skin tone,People & Body,hand-single-finger,317,excluded,skin_tone_variant
