rf_code,codepoints,name,group,subgroup,order,joypixels_file,status,reason
,1F9D1 200D 1F9BC,person in motorized wheelchair,People & Body,person-activity,1654,1f9d1-1f9bc.png,excluded,zwj_sequence
,1F9D1 1F3FB 200D 1F9BC,person in motorized wheelchair: light skin tone,People & Body,person-activity,1655,1f9d1-1f3fb-1f9bc.png,excluded,skin_tone_variant
,1F9D1 1F3FC 200D 1F9BC,person in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1656,1f9d1-1f3fc-1f9bc.png,excluded,skin_tone_variant
,1F9D1 1F3FD 200D 1F9BC,person in motorized wheelchair: medium skin tone,People & Body,person-activity,1657,1f9d1-1f3fd-1f9bc.png,excluded,skin_tone_variant
,1F9D1 1F3FE 200D 1F9BC,person in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1658,1f9d1-1f3fe-1f9bc.png,excluded,skin_tone_variant
,1F9D1 1F3FF 200D 1F9BC,person in motorized wheelchair: dark skin tone,People & Body,person-activity,1659,1f9d1-1f3ff-1f9bc.png,excluded,skin_tone_variant
,1F9D1 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right,People & Body,person-activity,1660,1f9d1-1f9bc-27a1.png,excluded,zwj_sequence
,1F9D1 1F3FB 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right: light skin tone,People & Body,person-activity,1661,1f9d1-1f3fb-1f9bc-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FC 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right: medium-light skin tone,People & Body,person-activity,1662,1f9d1-1f3fc-1f9bc-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FD 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right: medium skin tone,People & Body,person-activity,1663,1f9d1-1f3fd-1f9bc-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FE 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right: medium-dark skin tone,People & Body,person-activity,1664,1f9d1-1f3fe-1f9bc-27a1.png,excluded,skin_tone_variant
,1F9D1 1F3FF 200D 1F9BC 200D 27A1 FE0F,person in motorized wheelchair facing right: dark skin tone,People & Body,person-activity,1665,1f9d1-1f3ff-1f9bc-27a1.png,excluded,skin_tone_variant
,1F468 200D 1F9BC,man in motorized wheelchair,People & Body,person-activity,1666,1f468-1f9bc.png,excluded,zwj_sequence
,1F468 1F3FB 200D 1F9BC,man in motorized wheelchair: light skin tone,People & Body,person-activity,1667,1f468-1f3fb-1f9bc.png,excluded,skin_tone_variant
,1F468 1F3FC 200D 1F9BC,man in motorized wheelchair: medium-light skin tone,People & Body,person-activity,1668,1f468-1f3fc-1f9bc.png,excluded,skin_tone_variant
,1F468 1F3FD 200D 1F9BC,man in motorized wheelchair: medium skin tone,People & Body,person-activity,1669,1f468-1f3fd-1f9bc.png,excluded,skin_tone_variant
,1F468 1F3FE 200D 1F9BC,man in motorized wheelchair: medium-dark skin tone,People & Body,person-activity,1670,1f468-1f3fe-1f9bc.png,excluded,skin_tone_variant
,1F468 1F3FF 200D 1F9BC,man in motorized wheelchair: dark skin tone,People & Body,person-activity,1671,1f468-1f3ff-1f9bc.png,excluded,skin_tone_variant
,1F468 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right,People & Body,person-activity,1672,1f468-1f9bc-27a1.png,excluded,zwj_sequence
,1F468 1F3FB 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right: light skin tone,People & Body,person-activity,1673,1f468-1f3fb-1f9bc-27a1.png,excluded,skin_tone_variant
,1F468 1F3FC 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right: medium-light skin tone,People & Body,person-activity,1674,1f468-1f3fc-1f9bc-27a1.png,excluded,skin_tone_variant
,1F468 1F3FD 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right: medium skin tone,People & Body,person-activity,1675,1f468-1f3fd-1f9bc-27a1.png,excluded,skin_tone_variant
,1F468 1F3FE 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right: medium-dark skin tone,People & Body,person-activity,1676,1f468-1f3fe-1f9bc-27a1.png,excluded,skin_tone_variant
,1F468 1F3FF 200D 1F9BC 200D 27A1 FE0F,man in motorized wheelchair facing right: dark skin tone,People & Body,person-activity,1677,1f468-1f3ff-1f9bc-27a1.png,excluded,skin_tone_variant
,1F469 200D 1F9BC,woman in motorized wheelchair,People & Body,person-activity,1678,1f469-1f9bc.png,excluded,zwj_sequence
,1F469 1F3FB 200D 1F9BC,woman in motorized wheelchair: light skin tone,People & Body,person-activity,1679,1f469-1f3fb-1f9bc.png,excluded,skin_tone_variant
